iter	Passed	Remaining
212	321	1187
213	321	1182
214	322	1177
215	322	1172
216	323	1166
217	323	1161
218	324	1156
219	324	1151
220	325	1146
221	325	1141
222	326	1136
223	326	1131
224	327	1126
225	327	1121
226	327	1116
227	328	1111
228	328	1107
229	329	1102
230	329	1097
231	330	1092
232	330	1088
233	331	1083
234	331	1079
235	331	1074
236	332	1070
237	332	1065
238	333	1061
239	333	1056
240	334	1052
241	334	1048
242	335	1043
243	335	1039
244	335	1035
245	336	1031
246	336	1026
247	337	1022
248	338	1020
249	338	1016
250	339	1012
251	339	1008
252	340	1004
253	340	1000
254	341	996
255	341	992
256	341	988
257	342	984
258	342	980
259	343	977
260	343	973
261	344	969
262	344	965
263	345	962
264	345	958
265	346	955
266	346	951
267	347	948
268	347	944
269	348	941
270	348	937
271	349	934
272	349	930
273	350	927
274	350	924
275	351	920
276	351	917
277	351	914
278	352	910
279	352	907
280	353	904
281	353	900
282	354	897
283	354	894
284	355	891
285	355	888
286	356	884
287	356	881
288	357	878
289	357	875
290	358	872
291	358	869
292	359	866
293	359	863
294	360	860
295	360	857
296	361	854
297	361	851
298	361	848
299	362	845
300	362	842
301	363	840
302	363	837
303	364	834
304	364	831
305	365	828
306	365	826
307	366	823
308	367	821
309	367	818
310	368	816
311	369	814
312	369	811
313	370	808
314	370	806
315	371	803
316	371	801
317	372	798
318	373	796
319	373	794
320	374	792
321	375	789
322	375	787
323	376	784
324	376	782
325	377	779
326	377	777
327	378	775
328	378	772
329	379	770
330	379	767
331	380	765
332	381	763
333	381	761
334	382	759
335	383	756
336	383	754
337	384	752
338	384	750
339	385	748
340	386	745
341	386	743
342	387	741
343	387	739
344	388	737
345	388	734
346	389	732
347	389	730
348	390	728
349	390	725
350	391	723
351	391	721
352	392	718
353	392	716
354	393	714
355	393	712
356	394	710
357	394	708
358	395	706
359	396	704
360	396	701
361	397	699
362	397	698
363	398	696
364	398	694
365	399	691
366	399	689
367	400	687
368	400	685
369	401	683
370	401	681
371	402	679
372	402	677
373	403	675
374	403	673
375	404	670
376	404	668
377	405	666
378	405	664
379	406	662
380	406	660
381	407	658
382	407	656
383	408	654
384	408	652
385	409	650
386	409	648
387	410	647
388	410	645
389	411	643
390	411	641
391	412	639
392	412	637
393	413	636
394	414	634
395	414	632
396	415	630
397	415	628
398	416	626
399	416	625
400	417	623
401	417	621
402	418	619
403	418	617
404	419	616
405	419	614
406	420	612
407	420	610
408	421	608
409	422	607
410	422	605
411	423	603
412	423	602
413	424	600
414	424	598
415	425	597
416	425	595
417	426	593
418	427	592
419	427	590
420	428	588
421	428	587
422	429	585
423	429	583
424	430	582
425	431	580
426	431	579
427	431	577
428	432	575
429	433	574
430	433	572
431	434	570
432	434	569
433	435	567
434	438	569
435	439	568
436	440	567
437	440	565
438	441	564
439	442	562
440	442	561
441	443	559
442	444	558
443	444	556
444	445	555
445	445	553
446	446	552
447	447	550
448	447	549
449	448	547
450	448	546
451	449	544
452	450	543
453	450	541
454	451	540
455	451	539
456	452	537
457	453	536
458	453	534
459	454	533
460	455	532
461	455	530
462	456	529
463	457	528
464	458	526
465	458	525
466	459	524
467	460	522
468	460	521
469	461	520
470	462	519
471	462	517
472	463	516
473	464	515
474	464	513
475	465	512
476	465	510
477	466	509
478	467	508
479	467	506
480	468	505
481	469	504
482	469	502
483	470	501
484	470	500
485	471	498
486	472	497
487	472	495
488	473	494
489	473	493
490	474	491
491	475	490
492	475	489
493	476	487
494	476	486
495	477	484
496	477	483
497	478	482
498	478	480
499	479	479
500	480	478
501	480	476
502	481	475
503	481	473
504	482	472
505	482	471
506	483	469
507	483	468
508	484	467
509	485	466
510	485	464
511	486	463
512	487	462
513	487	461
514	488	459
515	489	458
516	489	457
517	490	456
518	490	454
519	491	453
520	492	452
521	492	451
522	493	449
523	493	448
524	494	447
525	494	445
526	495	444
527	495	443
528	496	441
529	496	440
530	497	439
531	497	437
532	498	436
533	498	435
534	499	433
535	499	432
536	500	431
537	500	430
538	501	428
539	501	427
540	502	426
541	502	424
542	503	423
543	503	422
544	503	420
545	504	419
546	504	418
547	505	416
548	505	415
549	506	414
550	506	413
551	507	411
552	507	410
553	508	409
554	508	407
555	509	406
556	509	405
557	510	404
558	510	402
559	511	401
560	511	400
561	511	398
562	512	397
563	512	396
564	513	395
565	513	394
566	514	392
567	514	391
568	515	390
569	515	389
570	516	387
571	516	386
572	517	385
573	517	384
574	518	382
575	518	381
576	518	380
577	519	379
578	520	378
579	520	377
580	521	375
581	521	374
582	522	373
583	522	372
584	523	371
585	523	369
586	524	368
587	524	367
588	525	366
589	525	365
590	525	363
591	526	362
592	526	361
593	527	360
594	527	359
595	528	358
596	528	356
597	529	355
598	529	354
599	530	353
600	530	352
601	530	351
602	531	349
603	531	348
604	532	347
605	532	346
606	533	345
607	533	344
608	534	342
609	534	342
610	535	340
611	536	339
612	536	338
613	537	337
614	537	336
615	538	335
616	538	334
617	539	333
618	539	332
619	540	331
620	540	330
621	541	328
622	541	327
623	542	326
624	543	325
625	543	324
626	544	323
627	544	322
628	545	321
629	545	320
630	546	319
631	546	318
632	547	317
633	547	316
634	547	314
635	548	313
636	549	312
637	549	311
638	549	310
639	550	309
640	550	308
641	551	307
642	551	306
643	552	305
644	552	304
645	553	303
646	553	302
647	554	300
648	554	299
649	555	298
650	555	297
651	556	296
652	556	295
653	557	294
654	557	293
655	558	292
656	558	291
657	559	290
658	559	289
659	560	288
660	560	287
661	561	286
662	561	285
663	562	284
664	562	283
665	563	282
666	563	281
667	564	280
668	564	279
669	565	278
670	565	277
671	565	276
672	566	275
673	566	274
674	567	273
675	567	272
676	568	271
677	568	270
678	569	269
679	569	268
680	570	267
681	570	266
682	571	265
683	571	264
684	572	263
685	572	262
686	573	261
687	573	260
688	573	259
689	574	258
690	574	257
691	575	256
692	575	255
693	576	254
694	576	253
695	577	252
696	577	251
697	578	250
698	578	249
699	579	248
700	579	247
701	579	246
702	580	245
703	580	244
704	581	243
705	581	242
706	582	241
707	582	240
708	583	239
709	583	238
710	584	237
711	584	236
712	584	235
713	585	234
714	586	233
715	586	232
716	587	231
717	587	230
718	588	229
719	588	228
720	589	227
721	589	226
722	589	226
723	590	225
724	590	224
725	591	223
726	591	222
727	592	221
728	592	220
729	593	219
730	593	218
731	594	217
732	594	216
733	594	215
734	595	214
735	595	213
736	596	212
737	596	211
738	597	210
739	597	210
740	598	209
741	598	208
742	599	207
743	599	206
744	600	205
745	600	204
746	601	203
747	601	202
748	601	201
749	602	200
750	602	199
751	603	198
752	603	198
753	604	197
754	604	196
755	605	195
756	605	194
757	606	193
758	606	192
759	606	191
760	607	190
761	607	189
762	608	188
763	608	188
764	609	187
765	609	186
766	610	185
767	610	184
768	611	183
769	611	182
770	611	181
771	612	180
772	612	179
773	613	179
774	613	178
775	614	177
776	614	176
777	615	175
778	615	174
779	616	173
780	616	172
781	617	172
782	617	171
783	618	170
784	618	169
785	619	168
786	619	167
787	620	166
788	620	165
789	620	165
790	621	164
791	621	163
792	622	162
793	622	161
794	623	160
795	623	159
796	624	158
797	624	158
798	625	157
799	625	156
800	626	155
801	626	154
802	626	153
803	627	152
804	627	152
805	628	151
806	628	150
807	629	149
808	629	148
809	630	147
810	630	146
811	631	146
812	631	145
813	632	144
814	632	143
815	633	142
816	633	141
817	634	141
818	634	140
819	634	139
820	635	138
821	635	137
822	636	136
823	636	136
824	637	135
825	637	134
826	638	133
827	638	132
828	639	131
829	639	131
830	640	130
831	640	129
832	641	128
833	641	127
834	642	126
835	642	126
836	643	125
837	643	124
838	643	123
839	644	122
840	644	121
841	645	121
842	646	120
843	646	119
844	647	118
845	647	117
846	648	117
847	648	116
848	649	115
849	649	114
850	650	113
851	650	113
852	651	112
853	651	111
854	652	110
855	652	109
856	652	108
857	653	108
858	653	107
859	654	106
860	654	105
861	655	104
862	655	104
863	656	103
864	656	102
865	657	101
866	657	100
867	658	100
868	658	99
869	659	98
870	659	97
871	660	96
872	660	96
873	661	95
874	661	94
875	662	93
876	662	92
877	663	92
878	663	91
879	664	90
880	664	89
881	665	88
882	665	88
883	666	87
884	666	86
885	667	85
886	667	85
887	667	84
888	668	83
889	668	82
890	669	81
891	670	81
892	670	80
893	671	79
894	671	78
895	672	78
896	672	77
897	673	76
898	673	75
899	673	74
900	674	74
901	675	73
902	675	72
903	676	71
904	676	71
905	677	70
906	677	69
907	678	68
908	678	67
909	679	67
910	679	66
911	680	65
912	680	64
913	681	64
914	681	63
915	682	62
916	682	61
917	683	61
918	683	60
919	683	59
920	684	58
921	684	57
922	685	57
923	685	56
924	686	55
925	686	54
926	687	54
927	687	53
928	688	52
929	688	51
930	689	51
931	689	50
932	690	49
933	690	48
934	691	48
935	691	47
936	692	46
937	693	45
938	693	45
939	694	44
940	694	43
941	695	42
942	695	42
943	696	41
944	697	40
945	697	39
946	698	39
947	698	38
948	699	37
949	699	36
950	700	36
951	700	35
952	701	34
953	702	33
954	703	33
955	703	32
956	704	31
957	704	30
958	705	30
959	705	29
960	706	28
961	706	27
962	706	27
963	707	26
964	707	25
965	708	24
966	708	24
967	709	23
968	709	22
969	710	21
970	710	21
971	711	20
972	711	19
973	712	19
974	712	18
975	713	17
976	714	16
977	714	16
978	715	15
979	715	14
980	716	13
981	716	13
982	717	12
983	718	11
984	719	10
985	719	10
986	720	9
987	720	8
988	721	8
989	721	7
990	722	6
991	723	5
992	723	5
993	724	4
994	724	3
995	725	2
996	725	2
997	726	1
998	726	0
999	727	0
